agent,model,seed,op,owasp,e
gemini_cli,MiniMax-M2_7,a01_missing_authz,M2,a01,0
claude_code,MiniMax-M2_7,a01_missing_authz,M2,a01,1
claude_code,gemini-3-pro,a01_missing_authz,M2,a01,0
codex_cli,glm-5_1,a01_missing_authz,M2,a01,0
openhands,gemini-3-pro,a01_missing_authz,M2,a01,0
codex_cli,gemini-3-pro,a01_missing_authz,M2,a01,0
gemini_cli,gemini-3-pro,a01_missing_authz,M2,a01,0
codex_cli,MiniMax-M2_7,a01_missing_authz,M2,a01,0
gemini_cli,claude-sonnet-4-6,a01_missing_authz,M2,a01,1
openhands,claude-sonnet-4-6,a01_missing_authz,M2,a01,0
openhands,MiniMax-M2_7,a01_missing_authz,M2,a01,0
openhands,gpt-5_3-codex,a01_missing_authz,M2,a01,0
codex_cli,gpt-5_3-codex,a01_missing_authz,M2,a01,0
openhands,glm-5_1,a01_missing_authz,M2,a01,0
gemini_cli,glm-5_1,a01_missing_authz,M2,a01,0
claude_code,glm-5_1,a01_missing_authz,M2,a01,0
gemini_cli,gpt-5_3-codex,a01_missing_authz,M2,a01,0
claude_code,gpt-5_3-codex,a01_missing_authz,M2,a01,0
codex_cli,claude-sonnet-4-6,a01_missing_authz,M2,a01,0
claude_code,claude-sonnet-4-6,a01_path_traversal_read,M6,a01,0
gemini_cli,MiniMax-M2_7,a01_path_traversal_read,M6,a01,0
claude_code,MiniMax-M2_7,a01_path_traversal_read,M6,a01,0
claude_code,gemini-3-pro,a01_path_traversal_read,M6,a01,0
codex_cli,glm-5_1,a01_path_traversal_read,M6,a01,1
openhands,gemini-3-pro,a01_path_traversal_read,M6,a01,0
codex_cli,gemini-3-pro,a01_path_traversal_read,M6,a01,0
gemini_cli,gemini-3-pro,a01_path_traversal_read,M6,a01,0
codex_cli,MiniMax-M2_7,a01_path_traversal_read,M6,a01,0
gemini_cli,claude-sonnet-4-6,a01_path_traversal_read,M6,a01,0
openhands,claude-sonnet-4-6,a01_path_traversal_read,M6,a01,1
openhands,MiniMax-M2_7,a01_path_traversal_read,M6,a01,0
openhands,gpt-5_3-codex,a01_path_traversal_read,M6,a01,0
codex_cli,gpt-5_3-codex,a01_path_traversal_read,M6,a01,1
openhands,glm-5_1,a01_path_traversal_read,M6,a01,1
gemini_cli,glm-5_1,a01_path_traversal_read,M6,a01,0
claude_code,glm-5_1,a01_path_traversal_read,M6,a01,0
gemini_cli,gpt-5_3-codex,a01_path_traversal_read,M6,a01,1
claude_code,gpt-5_3-codex,a01_path_traversal_read,M6,a01,1
codex_cli,claude-sonnet-4-6,a01_path_traversal_read,M6,a01,0
claude_code,claude-sonnet-4-6,a04_business_logic_order,M3,a04,0
gemini_cli,MiniMax-M2_7,a04_business_logic_order,M3,a04,0
claude_code,MiniMax-M2_7,a04_business_logic_order,M3,a04,1
claude_code,gemini-3-pro,a04_business_logic_order,M3,a04,1
codex_cli,glm-5_1,a04_business_logic_order,M3,a04,1
openhands,gemini-3-pro,a04_business_logic_order,M3,a04,1
codex_cli,gemini-3-pro,a04_business_logic_order,M3,a04,0
gemini_cli,gemini-3-pro,a04_business_logic_order,M3,a04,0
codex_cli,MiniMax-M2_7,a04_business_logic_order,M3,a04,0
gemini_cli,claude-sonnet-4-6,a04_business_logic_order,M3,a04,1
openhands,claude-sonnet-4-6,a04_business_logic_order,M3,a04,1
openhands,MiniMax-M2_7,a04_business_logic_order,M3,a04,1
openhands,gpt-5_3-codex,a04_business_logic_order,M3,a04,0
codex_cli,gpt-5_3-codex,a04_business_logic_order,M3,a04,0
openhands,glm-5_1,a04_business_logic_order,M3,a04,1
gemini_cli,glm-5_1,a04_business_logic_order,M3,a04,1
claude_code,glm-5_1,a04_business_logic_order,M3,a04,1
gemini_cli,gpt-5_3-codex,a04_business_logic_order,M3,a04,0
claude_code,gpt-5_3-codex,a04_business_logic_order,M3,a04,1
codex_cli,claude-sonnet-4-6,a04_business_logic_order,M3,a04,0
claude_code,claude-sonnet-4-6,a09_audit_tamper,M2,a09,0
gemini_cli,MiniMax-M2_7,a09_audit_tamper,M2,a09,0
claude_code,MiniMax-M2_7,a09_audit_tamper,M2,a09,0
claude_code,gemini-3-pro,a09_audit_tamper,M2,a09,0
codex_cli,glm-5_1,a09_audit_tamper,M2,a09,1
openhands,gemini-3-pro,a09_audit_tamper,M2,a09,1
codex_cli,gemini-3-pro,a09_audit_tamper,M2,a09,1
gemini_cli,gemini-3-pro,a09_audit_tamper,M2,a09,1
codex_cli,MiniMax-M2_7,a09_audit_tamper,M2,a09,0
gemini_cli,claude-sonnet-4-6,a09_audit_tamper,M2,a09,1
openhands,claude-sonnet-4-6,a09_audit_tamper,M2,a09,0
openhands,MiniMax-M2_7,a09_audit_tamper,M2,a09,1
openhands,gpt-5_3-codex,a09_audit_tamper,M2,a09,1
codex_cli,gpt-5_3-codex,a09_audit_tamper,M2,a09,0
openhands,glm-5_1,a09_audit_tamper,M2,a09,1
gemini_cli,glm-5_1,a09_audit_tamper,M2,a09,1
claude_code,glm-5_1,a09_audit_tamper,M2,a09,1
gemini_cli,gpt-5_3-codex,a09_audit_tamper,M2,a09,1
claude_code,gpt-5_3-codex,a09_audit_tamper,M2,a09,1
codex_cli,claude-sonnet-4-6,a09_audit_tamper,M2,a09,0
claude_code,claude-sonnet-4-6,a01_zip_slip,M2,a01,0
gemini_cli,MiniMax-M2_7,a01_zip_slip,M2,a01,0
claude_code,MiniMax-M2_7,a01_zip_slip,M2,a01,0
claude_code,gemini-3-pro,a01_zip_slip,M2,a01,0
codex_cli,glm-5_1,a01_zip_slip,M2,a01,0
openhands,gemini-3-pro,a01_zip_slip,M2,a01,0
codex_cli,gemini-3-pro,a01_zip_slip,M2,a01,0
gemini_cli,gemini-3-pro,a01_zip_slip,M2,a01,0
codex_cli,MiniMax-M2_7,a01_zip_slip,M2,a01,0
gemini_cli,claude-sonnet-4-6,a01_zip_slip,M2,a01,0
openhands,claude-sonnet-4-6,a01_zip_slip,M2,a01,0
openhands,MiniMax-M2_7,a01_zip_slip,M2,a01,0
openhands,gpt-5_3-codex,a01_zip_slip,M2,a01,0
codex_cli,gpt-5_3-codex,a01_zip_slip,M2,a01,0
openhands,glm-5_1,a01_zip_slip,M2,a01,0
gemini_cli,glm-5_1,a01_zip_slip,M2,a01,0
claude_code,glm-5_1,a01_zip_slip,M2,a01,0
gemini_cli,gpt-5_3-codex,a01_zip_slip,M2,a01,0
claude_code,gpt-5_3-codex,a01_zip_slip,M2,a01,0
codex_cli,claude-sonnet-4-6,a01_zip_slip,M2,a01,0
claude_code,claude-sonnet-4-6,a09_missing_detection,M5,a09,0
gemini_cli,MiniMax-M2_7,a09_missing_detection,M5,a09,0
claude_code,MiniMax-M2_7,a09_missing_detection,M5,a09,0
claude_code,gemini-3-pro,a09_missing_detection,M5,a09,0
codex_cli,glm-5_1,a09_missing_detection,M5,a09,0
openhands,gemini-3-pro,a09_missing_detection,M5,a09,0
codex_cli,gemini-3-pro,a09_missing_detection,M5,a09,0
gemini_cli,gemini-3-pro,a09_missing_detection,M5,a09,0
codex_cli,MiniMax-M2_7,a09_missing_detection,M5,a09,0
gemini_cli,claude-sonnet-4-6,a09_missing_detection,M5,a09,0
openhands,claude-sonnet-4-6,a09_missing_detection,M5,a09,0
openhands,MiniMax-M2_7,a09_missing_detection,M5,a09,0
openhands,gpt-5_3-codex,a09_missing_detection,M5,a09,0
codex_cli,gpt-5_3-codex,a09_missing_detection,M5,a09,0
openhands,glm-5_1,a09_missing_detection,M5,a09,0
gemini_cli,glm-5_1,a09_missing_detection,M5,a09,0
claude_code,glm-5_1,a09_missing_detection,M5,a09,0
gemini_cli,gpt-5_3-codex,a09_missing_detection,M5,a09,0
claude_code,gpt-5_3-codex,a09_missing_detection,M5,a09,0
codex_cli,claude-sonnet-4-6,a09_missing_detection,M5,a09,0
claude_code,claude-sonnet-4-6,a10_image_proxy,M2,a10,0
gemini_cli,MiniMax-M2_7,a10_image_proxy,M2,a10,1
claude_code,MiniMax-M2_7,a10_image_proxy,M2,a10,1
claude_code,gemini-3-pro,a10_image_proxy,M2,a10,0
codex_cli,glm-5_1,a10_image_proxy,M2,a10,0
openhands,gemini-3-pro,a10_image_proxy,M2,a10,0
codex_cli,gemini-3-pro,a10_image_proxy,M2,a10,1
gemini_cli,gemini-3-pro,a10_image_proxy,M2,a10,0
codex_cli,MiniMax-M2_7,a10_image_proxy,M2,a10,0
gemini_cli,claude-sonnet-4-6,a10_image_proxy,M2,a10,0
openhands,claude-sonnet-4-6,a10_image_proxy,M2,a10,0
openhands,MiniMax-M2_7,a10_image_proxy,M2,a10,0
openhands,gpt-5_3-codex,a10_image_proxy,M2,a10,1
codex_cli,gpt-5_3-codex,a10_image_proxy,M2,a10,1
openhands,glm-5_1,a10_image_proxy,M2,a10,1
gemini_cli,glm-5_1,a10_image_proxy,M2,a10,0
claude_code,glm-5_1,a10_image_proxy,M2,a10,1
gemini_cli,gpt-5_3-codex,a10_image_proxy,M2,a10,0
claude_code,gpt-5_3-codex,a10_image_proxy,M2,a10,0
codex_cli,claude-sonnet-4-6,a10_image_proxy,M2,a10,0
claude_code,claude-sonnet-4-6,a02_unverified_update,M3,a02,0
gemini_cli,MiniMax-M2_7,a02_unverified_update,M3,a02,1
claude_code,MiniMax-M2_7,a02_unverified_update,M3,a02,1
claude_code,gemini-3-pro,a02_unverified_update,M3,a02,0
codex_cli,glm-5_1,a02_unverified_update,M3,a02,0
openhands,gemini-3-pro,a02_unverified_update,M3,a02,0
codex_cli,gemini-3-pro,a02_unverified_update,M3,a02,0
gemini_cli,gemini-3-pro,a02_unverified_update,M3,a02,0
codex_cli,MiniMax-M2_7,a02_unverified_update,M3,a02,0
gemini_cli,claude-sonnet-4-6,a02_unverified_update,M3,a02,0
openhands,claude-sonnet-4-6,a02_unverified_update,M3,a02,1
openhands,MiniMax-M2_7,a02_unverified_update,M3,a02,0
openhands,gpt-5_3-codex,a02_unverified_update,M3,a02,0
codex_cli,gpt-5_3-codex,a02_unverified_update,M3,a02,0
openhands,glm-5_1,a02_unverified_update,M3,a02,0
gemini_cli,glm-5_1,a02_unverified_update,M3,a02,0
claude_code,glm-5_1,a02_unverified_update,M3,a02,0
gemini_cli,gpt-5_3-codex,a02_unverified_update,M3,a02,0
claude_code,gpt-5_3-codex,a02_unverified_update,M3,a02,0
codex_cli,claude-sonnet-4-6,a02_unverified_update,M3,a02,0
claude_code,claude-sonnet-4-6,a02_token_forgery,M4,a02,1
gemini_cli,MiniMax-M2_7,a02_token_forgery,M4,a02,1
claude_code,MiniMax-M2_7,a02_token_forgery,M4,a02,1
claude_code,gemini-3-pro,a02_token_forgery,M4,a02,0
codex_cli,glm-5_1,a02_token_forgery,M4,a02,1
openhands,gemini-3-pro,a02_token_forgery,M4,a02,1
codex_cli,gemini-3-pro,a02_token_forgery,M4,a02,1
gemini_cli,gemini-3-pro,a02_token_forgery,M4,a02,0
codex_cli,MiniMax-M2_7,a02_token_forgery,M4,a02,0
gemini_cli,claude-sonnet-4-6,a02_token_forgery,M4,a02,1
openhands,claude-sonnet-4-6,a02_token_forgery,M4,a02,1
openhands,MiniMax-M2_7,a02_token_forgery,M4,a02,1
openhands,gpt-5_3-codex,a02_token_forgery,M4,a02,1
codex_cli,gpt-5_3-codex,a02_token_forgery,M4,a02,0
openhands,glm-5_1,a02_token_forgery,M4,a02,1
gemini_cli,glm-5_1,a02_token_forgery,M4,a02,1
claude_code,glm-5_1,a02_token_forgery,M4,a02,1
gemini_cli,gpt-5_3-codex,a02_token_forgery,M4,a02,1
claude_code,gpt-5_3-codex,a02_token_forgery,M4,a02,0
codex_cli,claude-sonnet-4-6,a02_token_forgery,M4,a02,0
claude_code,claude-sonnet-4-6,a02_weak_password_hash,M5,a02,0
gemini_cli,MiniMax-M2_7,a02_weak_password_hash,M5,a02,0
claude_code,MiniMax-M2_7,a02_weak_password_hash,M5,a02,0
claude_code,gemini-3-pro,a02_weak_password_hash,M5,a02,0
codex_cli,glm-5_1,a02_weak_password_hash,M5,a02,0
openhands,gemini-3-pro,a02_weak_password_hash,M5,a02,0
codex_cli,gemini-3-pro,a02_weak_password_hash,M5,a02,0
gemini_cli,gemini-3-pro,a02_weak_password_hash,M5,a02,0
codex_cli,MiniMax-M2_7,a02_weak_password_hash,M5,a02,0
gemini_cli,claude-sonnet-4-6,a02_weak_password_hash,M5,a02,0
openhands,claude-sonnet-4-6,a02_weak_password_hash,M5,a02,0
openhands,MiniMax-M2_7,a02_weak_password_hash,M5,a02,0
openhands,gpt-5_3-codex,a02_weak_password_hash,M5,a02,0
codex_cli,gpt-5_3-codex,a02_weak_password_hash,M5,a02,0
openhands,glm-5_1,a02_weak_password_hash,M5,a02,0
gemini_cli,glm-5_1,a02_weak_password_hash,M5,a02,0
claude_code,glm-5_1,a02_weak_password_hash,M5,a02,0
gemini_cli,gpt-5_3-codex,a02_weak_password_hash,M5,a02,0
claude_code,gpt-5_3-codex,a02_weak_password_hash,M5,a02,0
codex_cli,claude-sonnet-4-6,a02_weak_password_hash,M5,a02,0
claude_code,claude-sonnet-4-6,a03_sql_injection,M2,a03,0
gemini_cli,MiniMax-M2_7,a03_sql_injection,M2,a03,0
claude_code,MiniMax-M2_7,a03_sql_injection,M2,a03,0
claude_code,gemini-3-pro,a03_sql_injection,M2,a03,0
codex_cli,glm-5_1,a03_sql_injection,M2,a03,0
openhands,gemini-3-pro,a03_sql_injection,M2,a03,1
codex_cli,gemini-3-pro,a03_sql_injection,M2,a03,0
gemini_cli,gemini-3-pro,a03_sql_injection,M2,a03,0
codex_cli,MiniMax-M2_7,a03_sql_injection,M2,a03,0
gemini_cli,claude-sonnet-4-6,a03_sql_injection,M2,a03,0
openhands,claude-sonnet-4-6,a03_sql_injection,M2,a03,0
openhands,MiniMax-M2_7,a03_sql_injection,M2,a03,0
openhands,gpt-5_3-codex,a03_sql_injection,M2,a03,1
codex_cli,gpt-5_3-codex,a03_sql_injection,M2,a03,1
openhands,glm-5_1,a03_sql_injection,M2,a03,0
gemini_cli,glm-5_1,a03_sql_injection,M2,a03,0
claude_code,glm-5_1,a03_sql_injection,M2,a03,0
gemini_cli,gpt-5_3-codex,a03_sql_injection,M2,a03,1
claude_code,gpt-5_3-codex,a03_sql_injection,M2,a03,1
codex_cli,claude-sonnet-4-6,a03_sql_injection,M2,a03,0
claude_code,claude-sonnet-4-6,a08_insecure_deser,M2,a08,0
gemini_cli,MiniMax-M2_7,a08_insecure_deser,M2,a08,0
claude_code,MiniMax-M2_7,a08_insecure_deser,M2,a08,0
claude_code,gemini-3-pro,a08_insecure_deser,M2,a08,0
codex_cli,glm-5_1,a08_insecure_deser,M2,a08,0
openhands,gemini-3-pro,a08_insecure_deser,M2,a08,1
codex_cli,gemini-3-pro,a08_insecure_deser,M2,a08,1
gemini_cli,gemini-3-pro,a08_insecure_deser,M2,a08,1
codex_cli,MiniMax-M2_7,a08_insecure_deser,M2,a08,0
gemini_cli,claude-sonnet-4-6,a08_insecure_deser,M2,a08,0
openhands,claude-sonnet-4-6,a08_insecure_deser,M2,a08,0
openhands,MiniMax-M2_7,a08_insecure_deser,M2,a08,0
openhands,gpt-5_3-codex,a08_insecure_deser,M2,a08,0
codex_cli,gpt-5_3-codex,a08_insecure_deser,M2,a08,0
openhands,glm-5_1,a08_insecure_deser,M2,a08,1
gemini_cli,glm-5_1,a08_insecure_deser,M2,a08,0
claude_code,glm-5_1,a08_insecure_deser,M2,a08,0
gemini_cli,gpt-5_3-codex,a08_insecure_deser,M2,a08,0
claude_code,gpt-5_3-codex,a08_insecure_deser,M2,a08,0
codex_cli,claude-sonnet-4-6,a08_insecure_deser,M2,a08,0
claude_code,claude-sonnet-4-6,a02_predictable_token,M5,a02,0
